x1,y1,x2,y2
16781,4769,16781,4769
16907,4895,16909,4897
16837,4825,16838,4826
16938,4895,16940,4897
16717,4797,16717,4797
16830,4910,16831,4911
16868,4825,16869,4826
16860,4910,16862,4911
16800,4726,16800,4727
16891,4909,16893,4911
16898,4825,16899,4826
16921,4909,16923,4911
16748,4797,16748,4797
16844,4924,16845,4925
16759,4839,16760,4840
16874,4924,16876,4925
16811,4769,16812,4769
16905,4924,16907,4925
16790,4839,16791,4840
16858,4938,16860,4939
11239,4790,11240,4790
11221,4804,11221,4805
11296,4846,11297,4847
11254,4804,11254,4805
11291,4874,11292,4876
11202,4818,11202,4819
11225,4776,11226,4776
11235,4818,11236,4819
11282,4832,11283,4833
11286,4902,11288,4904
11178,4762,11179,4762
11319,4902,11321,4904
11324,4874,11325,4876
11352,4902,11354,4904
11211,4762,11212,4762
11268,4818,11269,4819
11249,4832,11250,4833
11197,4748,11198,4748
11272,4888,11274,4890
11160,4776,11160,4776
11174,4790,11174,4790
11192,4776,11193,4776
11305,4888,11307,4890
11300,4917,11302,4918
11258,4874,11259,4876
11333,4916,11335,4918
11338,4888,11340,4890
11244,4860,11245,4861
11207,4790,11207,4790
11277,4860,11278,4861
11230,4846,11231,4847
11310,4860,11311,4862
11216,4832,11217,4833
11314,4931,11316,4932
11263,4846,11264,4847
11188,4804,11188,4805
11192,76,11193,76
11244,160,11245,161
11314,231,11316,232
11225,76,11226,76
11188,104,11188,105
11282,132,11283,133
11300,217,11302,218
11254,104,11254,105
11230,146,11231,147
11216,132,11217,133
11221,104,11221,105
11174,90,11174,90
11319,202,11321,204
11277,160,11278,161
11202,118,11202,119
11310,160,11311,162
11160,76,11160,76
11207,90,11207,90
11333,216,11335,218
11258,174,11259,176
11352,202,11354,204
11178,62,11179,62
11249,132,11250,133
11291,174,11292,176
11268,118,11269,119
11239,90,11240,90
11263,146,11264,147
11324,174,11325,176
11211,62,11212,62
11272,188,11274,190
11197,48,11198,48
11305,188,11307,190
11235,118,11236,119
11338,188,11340,190
11296,146,11297,147
11286,202,11288,204
16823,111,16824,112
16764,83,16765,83
16717,97,16717,97
16879,167,16881,169
16856,83,16857,83
16825,83,16826,83
16776,125,16777,126
16910,167,16911,169
16748,97,16748,97
16837,125,16838,126
16781,69,16781,69
16905,224,16907,225
16940,167,16942,169
16884,111,16885,112
16778,97,16779,97
16868,125,16869,126
16759,139,16760,140
16809,97,16810,98
16888,238,16890,239
16835,153,16836,154
16811,69,16812,69
16844,224,16845,225
16783,40,16783,41
16816,196,16817,197
16912,139,16914,140
16795,83,16795,83
16846,195,16848,197
16858,238,16860,239
16731,111,16732,112
16877,195,16878,197
16800,26,16800,27
16896,153,16897,154
16907,195,16909,197
16872,252,16874,254
16792,111,16793,112
16938,195,16940,197
16898,125,16899,126
16773,153,16774,154
16839,97,16840,98
16767,55,16767,55
16882,139,16883,140
16797,55,16798,55
16814,40,16814,41
16874,224,16876,225
16870,97,16871,98
16734,83,16734,83
16853,111,16854,112
16790,139,16791,140
16802,181,16803,183
16762,111,16762,112
16745,125,16746,126
16828,54,16828,55
16832,181,16833,183
16820,139,16821,140
16806,125,16807,126
16788,167,16788,168
16851,139,16852,140
16863,181,16864,183
16804,153,16805,154
16830,210,16831,211
16926,153,16928,155
16893,181,16895,183
16860,210,16862,211
16818,167,16819,168
16842,69,16843,69
16891,209,16893,211
16924,181,16926,183
16865,153,16866,154
16921,209,16923,211
16849,167,16850,169
16954,181,16956,183
16750,69,16750,69
